Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-02,548.25,554.74,547.2,551.83,681100,0.0,0.0
2021-07-06,554.29,563.79,552.19,558.49,795000,0.0,0.0
2021-07-07,560.9,563.26,553.07,561.78,1093500,0.0,0.0
2021-07-08,552.75,562.29,546.95,560.47,942000,0.0,0.0
2021-07-09,559.72,567.33,555.87,566.37,976600,0.0,0.0
2021-07-12,570.0,573.67,561.25,561.93,1279200,0.0,0.0
2021-07-13,561.0,566.35,555.0,559.33,868400,0.0,0.0
2021-07-14,563.96,567.3,558.78,562.94,1133400,0.0,0.0
2021-07-15,563.38,566.72,554.55,558.28,823600,0.0,0.0
2021-07-16,561.52,564.63,554.96,556.36,941000,0.0,0.0
2021-07-19,551.74,555.39,545.0,555.09,1108000,0.0,0.0
2021-07-20,560.0,569.16,554.61,565.25,870600,0.0,0.0
2021-07-21,562.49,567.13,558.54,567.13,754200,0.0,0.0
2021-07-22,572.08,579.4,570.45,576.7,938500,0.0,0.0
2021-07-23,580.0,588.48,577.82,586.18,890900,0.0,0.0
2021-07-26,584.8,584.85,575.01,584.2,1044200,0.0,0.0
2021-07-27,584.0,586.87,574.67,582.29,1462400,0.0,0.0
2021-07-28,582.0,587.0,576.01,583.35,1229200,0.0,0.0
2021-07-29,584.6,608.78,584.6,586.43,2539600,0.0,0.0
2021-07-30,579.71,595.89,575.94,587.89,1566000,0.0,0.0
2021-08-02,587.89,591.72,579.01,584.67,901100,0.0,0.0
2021-08-03,584.89,590.81,577.34,584.66,804600,0.0,0.0
2021-08-04,585.0,594.69,583.17,593.47,769700,0.0,0.0
2021-08-05,595.0,597.0,589.38,595.5,476100,0.0,0.0
2021-08-06,594.0,595.6,589.43,590.68,709200,0.0,0.0
2021-08-09,589.95,592.3,585.3,587.96,800900,0.0,0.0
2021-08-10,588.0,589.44,572.78,575.8,829500,0.0,0.0
2021-08-11,578.44,581.14,566.59,570.2,908200,0.0,0.0
2021-08-12,569.27,581.99,566.99,581.57,866300,0.0,0.0
2021-08-13,579.04,587.98,577.54,587.83,638800,0.0,0.0
2021-08-16,586.0,591.68,576.32,580.22,812900,0.0,0.0
2021-08-17,579.45,584.1,574.38,582.24,709800,0.0,0.0
2021-08-18,580.47,588.6,578.48,581.95,741800,0.0,0.0
2021-08-19,579.5,591.3,577.75,586.92,768000,0.0,0.0
2021-08-20,591.05,601.41,588.57,600.52,1003500,0.0,0.0
2021-08-23,602.0,621.0,602.0,619.43,1576600,0.0,0.0
2021-08-24,620.0,626.53,620.0,621.85,1016100,0.0,0.0
2021-08-25,623.0,627.77,616.66,621.07,909500,0.0,0.0
2021-08-26,622.62,630.23,621.1,624.03,1096300,0.0,0.0
2021-08-27,625.0,635.62,624.04,632.4,821200,0.0,0.0
2021-08-30,634.0,643.28,633.49,641.65,797500,0.0,0.0
2021-08-31,645.0,647.7,639.56,643.64,1246600,0.0,0.0
2021-09-01,643.6,652.56,642.5,650.85,936700,0.0,0.0
2021-09-02,654.0,661.78,652.39,660.31,1354000,0.0,0.0
2021-09-03,660.0,681.1,659.05,678.63,1145900,0.0,0.0
2021-09-07,678.63,679.0,660.21,661.09,1515800,0.0,0.0
2021-09-08,660.31,660.31,650.63,653.8,1113000,0.0,0.0
2021-09-09,655.78,656.37,649.0,650.19,802300,0.0,0.0
2021-09-10,653.11,655.76,646.74,647.98,754300,0.0,0.0
2021-09-13,649.0,649.08,630.67,639.08,1262200,0.0,0.0
2021-09-14,641.99,648.54,640.59,645.42,749400,0.0,0.0
2021-09-15,644.09,654.12,637.67,652.15,803200,0.0,0.0
2021-09-16,650.3,657.12,644.68,656.35,622300,0.0,0.0
2021-09-17,653.39,657.46,648.26,651.03,1298100,0.0,0.0
2021-09-20,644.36,650.58,640.12,648.73,957800,0.0,0.0
2021-09-21,650.0,657.18,645.63,654.2,755200,0.0,0.0
2021-09-22,658.0,665.5,650.68,662.65,816100,0.0,0.0
2021-09-23,668.0,670.49,663.01,664.22,871500,0.0,0.0
2021-09-24,662.1,667.0,655.0,666.31,499800,0.0,0.0
2021-09-27,659.88,660.0,646.21,649.56,902500,0.0,0.0
2021-09-28,633.67,636.84,610.0,612.52,1988800,0.0,0.0
2021-09-29,620.0,623.84,607.18,618.02,1228600,0.0,0.0
2021-09-30,620.2,626.99,618.24,622.27,948400,0.0,0.0
2021-10-01,623.78,635.41,614.33,632.8,1048900,0.0,0.0
2021-10-04,635.4,638.05,609.47,617.97,1173700,0.0,0.0
2021-10-05,622.47,639.54,622.0,633.42,1066200,0.0,0.0
2021-10-06,627.34,635.76,621.4,629.36,1038300,0.0,0.0
2021-10-07,636.43,648.36,635.43,637.92,1021400,0.0,0.0
2021-10-08,640.0,643.66,616.92,617.58,1715600,0.0,0.0
2021-10-11,618.02,627.31,612.14,615.85,915100,0.0,0.0
2021-10-12,622.36,633.0,620.24,629.13,796000,0.0,0.0
2021-10-13,630.0,641.08,630.0,639.41,1110800,0.0,0.0
2021-10-14,650.0,662.76,648.6,653.03,1326000,0.0,0.0
2021-10-15,656.86,665.61,654.9,663.18,919300,0.0,0.0
2021-10-18,663.5,666.3,657.33,666.22,1134700,0.0,0.0
2021-10-19,672.4,687.69,672.29,680.25,1472500,0.0,0.0
2021-10-20,684.23,686.73,671.18,681.11,872400,0.0,0.0
2021-10-21,680.0,687.29,676.87,686.34,649500,0.0,0.0
2021-10-22,686.0,692.97,683.42,686.65,928500,0.0,0.0
2021-10-25,686.65,693.47,684.5,688.85,586100,0.0,0.0
2021-10-26,692.69,693.0,675.55,676.71,1108500,0.0,0.0
2021-10-27,675.7,684.83,663.61,664.76,1500500,0.0,0.0
2021-10-28,671.51,694.0,671.3,687.7,2113300,0.0,0.0
2021-10-29,686.35,698.43,682.15,697.76,1107100,0.0,0.0
2021-11-01,700.0,704.82,676.66,681.98,1163500,0.0,0.0
2021-11-02,685.99,687.5,680.5,686.59,682600,0.0,0.0
2021-11-03,689.1,689.1,672.22,687.67,662500,0.0,0.0
2021-11-04,690.0,707.6,689.14,701.73,833500,0.0,0.0
2021-11-05,702.0,702.74,686.9,692.01,596100,0.0,0.0
2021-11-08,693.72,696.59,689.15,692.28,798100,0.0,0.0
2021-11-09,695.31,697.28,685.6,691.27,499800,0.0,0.0
2021-11-10,686.79,687.93,663.82,670.91,1279800,0.0,0.0
2021-11-11,679.69,681.34,673.89,679.25,1015000,0.0,0.0
2021-11-12,685.0,691.74,681.44,691.4,991700,0.0,0.0
2021-11-15,689.46,689.9,678.71,682.57,812000,0.0,0.0
2021-11-16,684.99,692.56,682.11,692.55,926700,0.0,0.0
2021-11-17,694.33,695.61,683.9,684.93,691500,0.0,0.0
2021-11-18,682.47,684.56,674.14,675.84,751400,0.0,0.0
2021-11-19,680.31,687.26,674.18,675.97,1051300,0.0,0.0
2021-11-22,675.71,683.96,651.36,656.38,1194200,0.0,0.0
2021-11-23,650.0,654.43,627.41,636.91,1844700,0.0,0.0
2021-11-24,629.96,649.42,624.14,649.31,837000,0.0,0.0
2021-11-26,644.52,661.07,644.52,649.55,729500,0.0,0.0
2021-11-29,659.63,676.5,651.11,672.82,1081400,0.0,0.0
2021-11-30,674.63,679.62,642.65,647.7,2146400,0.0,0.0
2021-12-01,650.36,657.96,599.34,599.57,2318100,0.0,0.0
2021-12-02,599.57,625.8,598.64,623.37,1460000,0.0,0.0
2021-12-03,627.69,628.76,593.16,613.11,1854800,0.0,0.0
2021-12-06,601.58,619.66,594.05,616.54,1440300,0.0,0.0
2021-12-07,630.99,668.16,630.0,663.39,1850000,0.0,0.0
2021-12-08,660.0,672.97,651.05,665.81,930200,0.0,0.0
2021-12-09,666.0,669.11,641.25,642.15,1089100,0.0,0.0
2021-12-10,647.19,658.18,640.2,647.0,850300,0.0,0.0
2021-12-13,644.65,661.17,642.67,655.94,999500,0.0,0.0
2021-12-14,642.09,646.9,607.19,624.69,1659700,0.0,0.0
2021-12-15,626.66,648.07,624.58,647.04,1581500,0.0,0.0
2021-12-16,639.39,643.8,606.69,608.98,1588300,0.0,0.0
2021-12-17,596.7,620.65,587.02,615.63,3418700,0.0,0.0
2021-12-20,605.0,614.06,601.22,605.37,996700,0.0,0.0
2021-12-21,612.5,635.34,605.0,631.32,1129100,0.0,0.0
2021-12-22,631.46,648.89,625.6,643.93,1010700,0.0,0.0
2021-12-23,645.96,651.69,641.03,648.57,664700,0.0,0.0
2021-12-27,655.98,664.95,651.97,663.28,680900,0.0,0.0
2021-12-28,667.64,667.64,653.0,654.0,482200,0.0,0.0
2021-12-29,655.18,658.86,646.02,654.58,441800,0.0,0.0
2021-12-30,656.2,663.17,653.84,654.54,490900,0.0,0.0
2021-12-31,652.02,658.59,648.87,649.11,464600,0.0,0.0
2022-01-03,648.16,651.41,625.42,630.14,1043700,0.0,0.0
2022-01-04,628.39,628.82,576.97,603.94,2980600,0.0,0.0
2022-01-05,589.0,607.5,571.48,572.76,2096100,0.0,0.0
2022-01-06,567.4,589.45,555.0,574.04,1674500,0.0,0.0
2022-01-07,570.69,585.58,558.33,566.39,1190500,0.0,0.0
2022-01-10,550.1,573.1,535.81,572.0,1967600,0.0,0.0
2022-01-11,569.88,580.24,561.75,578.44,1340000,0.0,0.0
2022-01-12,587.32,591.52,569.62,573.39,1717200,0.0,0.0
2022-01-13,575.02,575.84,520.0,521.26,3904900,0.0,0.0
2022-01-14,521.26,538.54,514.66,531.02,3237600,0.0,0.0
2022-01-18,524.7,544.46,517.59,522.34,2386600,0.0,0.0
2022-01-19,525.42,543.73,520.64,521.29,2570500,0.0,0.0
2022-01-20,532.21,542.8,513.72,515.0,1885600,0.0,0.0
2022-01-21,510.0,528.88,507.13,507.74,2605600,0.0,0.0
2022-01-24,500.29,527.62,484.43,525.84,3420500,0.0,0.0
2022-01-25,515.45,517.6,484.44,495.08,2878700,0.0,0.0
2022-01-26,514.28,520.99,479.35,484.42,3475300,0.0,0.0
2022-01-27,553.53,556.99,518.14,528.69,5506100,0.0,0.0
2022-01-28,528.69,563.5,507.8,561.08,3807800,0.0,0.0
2022-01-31,567.27,588.4,564.96,585.78,2654100,0.0,0.0
2022-02-01,584.9,590.71,576.96,586.54,1841700,0.0,0.0
2022-02-02,594.85,594.85,573.08,581.15,1313200,0.0,0.0
2022-02-03,568.21,582.04,559.3,560.85,1355800,0.0,0.0
2022-02-04,559.99,587.37,554.78,577.52,1250400,0.0,0.0
2022-02-07,577.99,588.44,570.47,573.2,988500,0.0,0.0
2022-02-08,564.2,592.0,563.97,591.27,1396400,0.0,0.0
2022-02-09,598.85,614.33,598.0,613.97,1665400,0.0,0.0
2022-02-10,600.47,621.41,599.96,610.46,1981300,0.0,0.0
2022-02-11,603.45,610.0,577.62,583.72,2140000,0.0,0.0
2022-02-14,578.87,589.33,574.18,579.58,1240000,0.0,0.0
2022-02-15,587.81,593.88,581.22,591.66,987000,0.0,0.0
2022-02-16,585.84,593.03,576.48,590.89,1100400,0.0,0.0
2022-02-17,584.08,587.16,564.59,565.75,1069300,0.0,0.0
2022-02-18,565.96,569.0,551.52,556.01,1276700,0.0,0.0
2022-02-22,544.07,561.95,539.4,550.15,1162000,0.0,0.0
2022-02-23,550.15,553.42,522.66,524.7,1863900,0.0,0.0
2022-02-24,508.25,575.97,502.46,573.95,2367600,0.0,0.0
2022-02-25,568.96,580.3,564.05,580.23,1053900,0.0,0.0
2022-02-28,578.2,585.54,570.92,579.92,1496100,0.0,0.0
2022-03-01,583.82,599.58,566.79,571.07,1588500,0.0,0.0
2022-03-02,578.32,590.76,560.02,587.06,1090100,0.0,0.0
2022-03-03,592.02,593.33,556.7,562.31,1468600,0.0,0.0
2022-03-04,555.49,569.1,542.41,547.07,1381400,0.0,0.0
2022-03-07,553.37,563.1,518.68,519.62,2145600,0.0,0.0
2022-03-08,510.0,535.9,504.46,518.2,1479500,0.0,0.0
2022-03-09,536.46,565.78,533.11,559.58,1647700,0.0,0.0
2022-03-10,548.58,551.92,530.92,533.59,1764300,0.0,0.0
2022-03-11,542.64,544.55,511.36,512.15,1228900,0.0,0.0
2022-03-14,514.96,526.32,492.05,495.1,1637600,0.0,0.0
2022-03-15,500.18,517.6,491.31,514.22,1331600,0.0,0.0
2022-03-16,528.51,548.76,517.39,547.4,1825400,0.0,0.0
2022-03-17,540.38,567.97,540.38,566.68,1284800,0.0,0.0
2022-03-18,577.6,583.86,566.75,579.88,2308500,0.0,0.0
2022-03-21,575.0,580.61,555.37,569.8,1416300,0.0,0.0
2022-03-22,570.71,597.74,570.1,588.66,1351000,0.0,0.0
2022-03-23,573.64,579.83,562.47,567.96,1112900,0.0,0.0
2022-03-24,570.0,582.73,562.31,581.09,985500,0.0,0.0
2022-03-25,581.04,583.61,556.8,561.87,1357100,0.0,0.0
2022-03-28,567.33,583.88,561.98,582.76,1306300,0.0,0.0
2022-03-29,590.22,601.62,577.64,597.75,1317900,0.0,0.0
2022-03-30,590.12,591.05,570.72,573.99,1514800,0.0,0.0
2022-03-31,573.99,576.99,556.39,556.89,2039400,0.0,0.0
2022-04-01,556.1,561.52,544.03,548.69,1931800,0.0,0.0
2022-04-04,548.0,575.81,546.52,574.82,1532700,0.0,0.0
2022-04-05,570.0,571.48,550.79,553.22,1155700,0.0,0.0
2022-04-06,542.82,542.82,519.68,527.95,1624900,0.0,0.0
2022-04-07,525.63,541.9,519.94,529.78,1155500,0.0,0.0
2022-04-08,525.0,529.38,514.22,515.6,1241000,0.0,0.0
2022-04-11,507.87,519.77,499.57,511.42,1422800,0.0,0.0
2022-04-12,522.59,534.13,508.95,510.21,1724400,0.0,0.0
2022-04-13,514.07,529.62,510.81,526.07,1389300,0.0,0.0
2022-04-14,524.9,525.91,506.72,507.33,1208800,0.0,0.0
2022-04-18,506.67,506.67,493.4,497.53,1309900,0.0,0.0
2022-04-19,498.78,520.72,492.07,514.4,1509500,0.0,0.0
2022-04-20,520.36,522.1,502.98,505.22,1189400,0.0,0.0
2022-04-21,511.55,521.69,488.84,491.67,1414300,0.0,0.0
2022-04-22,493.45,497.73,469.1,471.4,1761000,0.0,0.0
2022-04-25,464.75,477.38,464.26,472.27,1815100,0.0,0.0
2022-04-26,471.92,472.16,453.92,456.0,1894200,0.0,0.0
2022-04-27,462.74,474.41,459.43,466.29,2680100,0.0,0.0
2022-04-28,508.0,514.0,484.76,504.02,3763400,0.0,0.0
2022-04-29,489.18,508.99,477.08,478.1,1455200,0.0,0.0
2022-05-02,474.69,485.31,469.02,484.5,1411000,0.0,0.0
2022-05-03,481.98,488.39,469.62,481.86,1304900,0.0,0.0
2022-05-04,485.24,501.11,460.09,499.46,1849500,0.0,0.0
2022-05-05,494.89,495.48,461.98,469.33,1917900,0.0,0.0
2022-05-06,462.56,468.47,438.12,456.74,1965300,0.0,0.0
2022-05-09,443.0,450.31,422.61,425.87,2847900,0.0,0.0
2022-05-10,441.0,444.41,416.56,432.32,1895500,0.0,0.0
2022-05-11,426.17,447.98,418.71,420.36,1894700,0.0,0.0
2022-05-12,418.59,443.11,406.47,432.94,2701900,0.0,0.0
2022-05-13,437.74,459.69,436.34,452.65,2093500,0.0,0.0
2022-05-16,446.25,451.79,430.78,432.93,1662800,0.0,0.0
2022-05-17,445.92,451.48,417.06,432.85,2137600,0.0,0.0
2022-05-18,428.5,434.62,408.22,412.25,1778700,0.0,0.0
2022-05-19,414.48,435.72,410.32,426.76,2044700,0.0,0.0
2022-05-20,437.67,446.68,419.87,433.03,1725300,0.0,0.0
2022-05-23,430.92,438.93,424.31,430.12,1952700,0.0,0.0
2022-05-24,426.5,430.11,411.04,419.65,1732500,0.0,0.0
2022-05-25,423.45,457.6,421.87,452.29,3258400,0.0,0.0
2022-05-26,450.14,460.75,444.0,454.87,1789900,0.0,0.0
2022-05-27,463.19,479.97,462.89,476.29,1950200,0.0,0.0
2022-05-31,472.05,476.38,462.65,467.47,2411800,0.0,0.0
2022-06-01,491.04,496.98,470.73,475.13,1669900,0.0,0.0
2022-06-02,469.66,510.73,469.66,504.8,2004700,0.0,0.0
2022-06-03,495.84,505.66,484.7,492.48,1128900,0.0,0.0
2022-06-06,497.02,501.01,487.4,492.54,944300,0.0,0.0
2022-06-07,487.7,510.45,485.2,506.43,1297000,0.0,0.0
2022-06-08,501.92,509.36,500.53,505.42,1115400,0.0,0.0
2022-06-09,500.63,507.78,491.94,492.22,953200,0.0,0.0
2022-06-10,482.73,487.9,468.8,473.15,1243600,0.0,0.0
2022-06-13,450.0,458.85,439.0,440.37,1493300,0.0,0.0
2022-06-14,441.9,451.52,437.87,444.75,1078800,0.0,0.0
2022-06-15,449.52,475.46,449.07,465.95,1950800,0.0,0.0
2022-06-16,447.69,455.62,424.17,428.08,3030900,0.0,0.0
2022-06-17,430.13,451.05,429.03,443.79,2362400,0.0,0.0
2022-06-21,449.86,461.54,449.85,455.27,1136200,0.0,0.0
2022-06-22,450.21,466.1,448.33,458.65,983800,0.0,0.0
2022-06-23,466.29,486.75,466.29,485.53,1439400,0.0,0.0
2022-06-24,495.16,506.38,493.99,504.09,1700200,0.0,0.0
2022-06-27,506.37,509.7,489.23,496.7,1127200,0.0,0.0
2022-06-28,496.7,500.26,471.02,473.44,1254400,0.0,0.0
2022-06-29,473.61,483.46,467.5,477.79,978500,0.0,0.0
2022-06-30,472.74,479.92,459.64,475.52,1774100,0.0,0.0
2022-07-01,474.93,485.45,469.09,484.36,1505800,0.0,0.0
2022-07-05,480.21,497.5,474.01,495.93,1463600,0.0,0.0
2022-07-06,500.37,506.45,487.9,493.31,1053500,0.0,0.0
2022-07-07,490.17,501.91,490.17,497.05,1251900,0.0,0.0
2022-07-08,489.28,499.42,485.83,494.15,1486200,0.0,0.0
2022-07-11,488.97,495.54,480.6,490.4,959100,0.0,0.0
2022-07-12,461.25,466.73,424.79,427.94,6864300,0.0,0.0
2022-07-13,416.01,434.71,411.66,422.77,3186400,0.0,0.0
2022-07-14,416.5,430.43,407.5,420.97,2165300,0.0,0.0
2022-07-15,431.35,440.76,427.59,435.62,2157400,0.0,0.0
2022-07-18,437.59,442.48,426.01,426.74,1811300,0.0,0.0
2022-07-19,432.22,436.91,420.26,435.94,1422800,0.0,0.0
2022-07-20,442.9,458.29,440.99,456.85,1463600,0.0,0.0
2022-07-21,449.4,460.83,440.01,460.29,2047900,0.0,0.0
2022-07-22,460.61,465.88,443.84,446.77,1251300,0.0,0.0
2022-07-25,445.43,445.69,436.66,440.0,1031300,0.0,0.0
2022-07-26,443.6,443.6,417.78,422.82,1834500,0.0,0.0
2022-07-27,432.05,450.13,428.63,448.6,2255200,0.0,0.0
2022-07-28,431.23,446.31,423.69,436.5,3914200,0.0,0.0
2022-07-29,429.23,448.77,426.43,446.66,2019600,0.0,0.0
2022-08-01,438.99,455.57,435.7,453.77,1729500,0.0,0.0
2022-08-02,444.66,461.07,442.25,454.44,1112900,0.0,0.0
2022-08-03,460.75,472.91,457.16,471.45,1400500,0.0,0.0
2022-08-04,467.79,495.48,463.63,493.0,3326500,0.0,0.0
2022-08-05,478.08,503.27,475.26,494.85,2977700,0.0,0.0
2022-08-08,495.1,503.48,491.99,494.95,1636900,0.0,0.0
2022-08-09,492.28,497.77,483.49,487.46,983300,0.0,0.0
2022-08-10,501.96,516.62,500.98,516.2,1831900,0.0,0.0
2022-08-11,520.0,521.58,497.42,499.45,1481800,0.0,0.0
2022-08-12,504.44,508.0,492.99,506.51,1662200,0.0,0.0
2022-08-15,502.0,511.0,498.56,504.07,992900,0.0,0.0
2022-08-16,499.0,500.4,491.55,496.74,1432400,0.0,0.0
2022-08-17,489.0,493.66,485.48,488.76,875400,0.0,0.0
2022-08-18,486.36,490.46,480.22,489.6,981600,0.0,0.0
2022-08-19,484.17,484.69,473.32,476.26,981400,0.0,0.0
2022-08-22,466.57,469.24,455.77,459.71,1019300,0.0,0.0
2022-08-23,459.99,464.07,456.38,459.99,790200,0.0,0.0
2022-08-24,460.29,463.42,455.16,457.52,835300,0.0,0.0
2022-08-25,456.4,466.33,453.3,466.03,1056700,0.0,0.0
2022-08-26,467.29,467.5,444.67,444.69,898000,0.0,0.0
2022-08-29,440.0,447.58,435.51,435.78,859900,0.0,0.0
2022-08-30,442.5,444.08,429.51,436.84,960500,0.0,0.0
2022-08-31,440.0,446.0,433.84,434.62,1396000,0.0,0.0
2022-09-01,429.81,431.7,416.68,430.56,1579400,0.0,0.0
2022-09-02,438.37,447.49,431.28,434.51,1557700,0.0,0.0
2022-09-06,430.11,437.76,424.35,430.47,959800,0.0,0.0
2022-09-07,430.99,446.39,430.2,444.16,881800,0.0,0.0
2022-09-08,439.04,453.25,438.08,450.77,1211300,0.0,0.0
2022-09-09,458.08,471.92,457.51,470.03,1392000,0.0,0.0
2022-09-12,475.2,482.69,469.26,476.29,1175000,0.0,0.0
2022-09-13,450.0,458.38,449.4,452.38,1449600,0.0,0.0
2022-09-14,454.37,460.57,448.21,457.49,1031500,0.0,0.0
2022-09-15,444.92,457.81,434.21,435.55,1965000,0.0,0.0
2022-09-16,431.47,434.01,421.11,425.8,2138100,0.0,0.0
2022-09-19,422.8,426.5,418.84,425.05,885600,0.0,0.0
2022-09-20,421.5,421.5,411.01,411.2,1658100,0.0,0.0
2022-09-21,415.19,418.94,401.39,401.43,2521900,0.0,0.0
2022-09-22,399.87,404.46,386.7,386.97,2417900,0.0,0.0
2022-09-23,382.93,387.33,374.36,377.04,2212200,0.0,0.0
2022-09-26,376.48,382.61,367.71,370.1,2377200,0.0,0.0
2022-09-27,376.76,379.3,371.2,378.95,2127400,0.0,0.0
2022-09-28,378.44,390.39,376.42,388.85,1538800,0.0,0.0
2022-09-29,382.88,386.31,377.74,385.5,1497400,0.0,0.0
2022-09-30,385.0,396.08,377.18,377.61,1825700,0.0,0.0
2022-10-03,380.08,394.02,374.73,391.71,2327600,0.0,0.0
2022-10-04,402.13,413.66,400.83,411.55,1978800,0.0,0.0
2022-10-05,402.75,425.75,402.01,420.58,1771800,0.0,0.0
2022-10-06,422.12,433.39,416.54,418.43,1743600,0.0,0.0
2022-10-07,410.0,412.43,398.96,401.21,1235500,0.0,0.0
2022-10-10,401.39,402.21,377.15,381.78,1790300,0.0,0.0
2022-10-11,381.65,381.72,366.88,371.3,2042800,0.0,0.0
2022-10-12,372.49,376.31,365.94,369.13,1836600,0.0,0.0
2022-10-13,347.75,366.57,337.0,361.9,2740000,0.0,0.0
2022-10-14,366.02,366.85,340.9,341.76,3201100,0.0,0.0
2022-10-17,351.43,358.88,347.51,348.61,2571600,0.0,0.0
2022-10-18,362.34,367.47,351.05,356.79,2099400,0.0,0.0
2022-10-19,350.71,359.86,350.52,355.44,1384200,0.0,0.0
2022-10-20,356.13,366.47,351.04,356.26,1655700,0.0,0.0
2022-10-21,353.31,361.64,347.29,360.67,1451300,0.0,0.0
2022-10-24,368.0,370.9,359.25,366.56,1665700,0.0,0.0
2022-10-25,368.58,377.5,365.0,376.66,2132500,0.0,0.0
2022-10-26,353.8,382.58,351.0,366.41,3600000,0.0,0.0
2022-10-27,426.96,427.63,408.61,415.67,5625800,0.0,0.0
2022-10-28,416.23,421.44,403.77,420.4,3122200,0.0,0.0
2022-10-31,418.0,428.23,414.91,420.74,1898500,0.0,0.0
2022-11-01,427.08,430.24,416.6,418.56,1359900,0.0,0.0
2022-11-02,419.33,419.33,392.34,392.68,1771700,0.0,0.0
2022-11-03,390.62,395.62,384.86,385.56,1379100,0.0,0.0
2022-11-04,388.51,389.93,354.18,361.75,2838300,0.0,0.0
2022-11-07,365.0,365.08,351.25,363.2,1718400,0.0,0.0
2022-11-08,365.0,375.29,359.1,371.14,1572300,0.0,0.0
2022-11-09,365.0,368.83,361.2,361.27,1152600,0.0,0.0
2022-11-10,393.26,410.55,390.64,404.06,2913500,0.0,0.0
2022-11-11,406.99,424.46,404.72,409.91,2144300,0.0,0.0
2022-11-14,401.51,406.6,391.22,400.4,1558900,0.0,0.0
2022-11-15,414.21,425.39,414.21,419.48,1847600,0.0,0.0
2022-11-16,415.4,417.5,405.42,412.2,1168300,0.0,0.0
2022-11-17,402.85,408.77,397.85,400.58,1525600,0.0,0.0
2022-11-18,407.91,410.0,394.28,399.38,1205300,0.0,0.0
2022-11-21,394.2,395.97,382.5,387.38,1335200,0.0,0.0
2022-11-22,389.49,401.93,384.05,400.28,1375500,0.0,0.0
2022-11-23,399.84,410.6,396.75,409.37,1040800,0.0,0.0
2022-11-25,406.68,409.61,403.98,407.21,401400,0.0,0.0
2022-11-28,403.94,406.22,397.48,401.93,1046300,0.0,0.0
2022-11-29,400.87,402.17,394.68,396.85,1019600,0.0,0.0
2022-11-30,394.11,417.27,393.01,416.3,2088200,0.0,0.0
2022-12-01,416.16,431.42,414.72,425.6,1779800,0.0,0.0
2022-12-02,417.23,421.6,409.73,412.87,1244900,0.0,0.0
2022-12-05,406.0,409.87,385.17,392.26,1716800,0.0,0.0
2022-12-06,392.24,394.82,381.56,389.15,1473600,0.0,0.0
2022-12-07,389.27,395.8,385.05,388.52,1012300,0.0,0.0
2022-12-08,392.09,398.04,385.22,396.23,1032400,0.0,0.0
2022-12-09,394.07,403.27,393.05,393.58,838500,0.0,0.0
2022-12-12,395.56,407.06,394.71,401.64,1475900,0.0,0.0
2022-12-13,424.43,432.17,410.1,416.17,1945000,0.0,0.0
2022-12-14,416.51,429.23,411.55,418.39,1495700,0.0,0.0
2022-12-15,408.25,413.87,399.71,400.64,1162200,0.0,0.0
2022-12-16,399.83,404.36,392.14,394.37,1872500,0.0,0.0
2022-12-19,394.3,397.99,381.01,382.3,1396800,0.0,0.0
2022-12-20,376.5,388.37,375.82,386.47,954800,0.0,0.0
2022-12-21,387.13,395.36,381.15,391.91,963200,0.0,0.0
2022-12-22,383.97,386.77,373.65,379.94,1283000,0.0,0.0
2022-12-23,375.0,381.9,371.47,381.86,856600,0.0,0.0
2022-12-27,380.15,383.83,374.11,380.64,828900,0.0,0.0
2022-12-28,380.43,385.62,372.74,376.05,772100,0.0,0.0
2022-12-29,380.95,392.12,379.01,389.85,920500,0.0,0.0
2022-12-30,383.8,389.67,382.29,388.27,699300,0.0,0.0
